Source,Target,Type,Id,Label,Weight
CS1010,CS2040,Directed,0,,1
DSA1101,DSA2101,Directed,1,,1
GER1000,DSA2101,Directed,2,,1
MA1101R,DSA2101,Directed,3,,1
ST2131,DSA2101,Directed,4,,1
MA1101R,DSA2102,Directed,5,,1
ST2131,ST2132,Directed,9,,1
CS2040,CS3244,Directed,10,,1
ST2131,CS3244,Directed,11,,1
MA1101R,CS3244,Directed,12,,1
DSA2101,DSA3101,Directed,14,,1
ST2132,DSA3101,Directed,15,,1
CS1010,DSA3102,Directed,16,,1
MA1101R,DSA3102,Directed,17,,1
MA2311,DSA3102,Directed,18,,1
ST2131,ST3131,Directed,19,,1
CS1010,DSA4199,Directed,20,,1
DSA1101,DSA4199,Directed,21,,1
MA1101R,DSA4199,Directed,22,,1
CS2040,DSA4199,Directed,23,,1
DSA2101,DSA4199,Directed,24,,1
DSA2102,DSA4199,Directed,25,,1
MA2311,DSA4199,Directed,26,,1
ST2131,DSA4199,Directed,27,,1
ST2132,DSA4199,Directed,28,,1
CS3244,DSA4199,Directed,29,,1
DSA3101,DSA4199,Directed,30,,1
DSA3102,DSA4199,Directed,31,,1
ST3131,DSA4199,Directed,32,,1
CS1010,DSA4299,Directed,33,,1
DSA1101,DSA4299,Directed,34,,1
MA1101R,DSA4299,Directed,35,,1
CS2040,DSA4299,Directed,36,,1
DSA2101,DSA4299,Directed,37,,1
DSA2102,DSA4299,Directed,38,,1
MA2311,DSA4299,Directed,39,,1
ST2131,DSA4299,Directed,40,,1
ST2132,DSA4299,Directed,41,,1
CS3244,DSA4299,Directed,42,,1
DSA3101,DSA4299,Directed,43,,1
DSA3102,DSA4299,Directed,44,,1
ST3131,DSA4299,Directed,45,,1
ST3131,DSA4211,Directed,46,,1
MA1101R,DSA4212,Directed,47,,1
MA2311,DSA4212,Directed,48,,1
ST2132,DSA4212,Directed,49,,1
CS3244,DSA4262,Directed,50,,1
DSA3101,DSA4262,Directed,51,,1
CS3244,DSA4263,Directed,52,,1
DSA3101,DSA4263,Directed,53,,1
CS3244,DSA4266,Directed,54,,1
DSA3101,DSA4266,Directed,55,,1
MA2311,MA3236,Directed,56,,1
MA1101R,MA3252,Directed,57,,1
DSA2102,MA4270,Directed,58,,1
ST2131,MA4270,Directed,59,,1
ST2132,ST3232,Directed,60,,1
ST2132,ST4253,Directed,61,,1
ST2131,ST3239,Directed,62,,1
ST3131,ST4250,Directed,63,,1
ST2131,ST3247,Directed,64,,1
CS1010,ST3247,Directed,65,,1
ST2132,ST3248,Directed,66,,1
ST2132,ST4231,Directed,67,,1
ST2132,ST4234,Directed,68,,1
ST3131,ST4248,Directed,69,,1
ST3248,ST4248,Directed,70,,1
CS2100,CS3210,Directed,71,,1
CS2040,CS3223,Directed,72,,1
CS2102,CS3223,Directed,73,,1
CS2040,CS3230,Directed,74,,1
CS1231,CS3230,Directed,75,,1
CS2040,CS3243,Directed,76,,1
CS1231,CS3243,Directed,77,,1
CS3223,CS4224,Directed,78,,1
CS2102,CS4225,Directed,79,,1
CS3210,CS4231,Directed,80,,1
CS3230,CS4231,Directed,81,,1
MA1101R,CS4234,Directed,82,,1
CS3230,CS4234,Directed,83,,1
MA1101R,CS4243,Directed,84,,1
ST2131,CS4243,Directed,85,,1
CS2030,CS4243,Directed,86,,1
CS2040,CS4243,Directed,88,,1
CS3243,CS4248,Directed,89,,1
ST2131,CS4248,Directed,90,,1
CS3243,CS5340,Directed,92,,1
ST2132,CS5340,Directed,93,,1
ST2131,CS5340,Directed,94,,1
MA2101,MA4230,Directed,95,,1
DSA2102,MA4230,Directed,96,,1
