,Title,Company,Description,URL
0,Senior Machine Learning Engineer,AMPLIFY HEALTH ASIA PTE. LIMITED,"Instructions for interested applicants
https://aia.wd3.myworkdayjobs.com/amplifyhealthexternal/job/Singapore-SG-Amplify-Health/Senior-Machine-Learning-Engineer_JR-36278-1

What you will do?
The role entails building and recommending a foundational and sustainable data science system and architecture in the cloud to productionise both analytics and data science in real time and batch modes. A key focus on scalability, abstraction and frameworks are crucial to succeed in the role. The role will initially build components and systems on the ground while still envision a long-term and sustainable architectural structure. The team is expected to scale rapidly with different leadership roles available.

Core responsibilities include:
Collaboratively design, specify and implement a batch and real time execution framework for a healthcare analytics solution underpinned by a project delivery focus
Connecting with a multitude of stakeholders to understand the data, systems, and analytical architecture in a healthcare context
Create efficiencies and scalability within the health analytics and data science execution pipelines
Specify software and hardware decision making framework
Collaborate to design meta-data management systems and orchestration architecture in the designing of ML/AI and analytics pipelines
Work with data scientist to deploy ML models and build/ architect monitoring pipelines
Research and apply the most up to date analytics, machine learning and AI techniques in a production environment
Work with a range of stakeholders to ensure to present and apply insights effectively in the environment
Design and maintain system to monitoring model and analytical performance of the system
Improve processes and databases where opportunities arise

What skills do you need?
Behavioural skills
Exceptional technical leadership and communication skills across a wide range of stakeholders
Ability to work cohesively in a team environment while balancing multiple priorities
High level of attention to detail, resilience, enthusiasm, energy and drive
Positive, can-do attitude focused on continuous improvement
Ability to take feedback and constructive criticism to drive improved delivery solutions
Rigorous ability to problem-solve and optimise environment
Excellent management and co-ordination skills
Technical understanding
Core technologies and understanding required:
Expert in programming languages such as Python, Scala and R
Understanding of machine learning development lifecycle
Technologies and frameworks relevant to a productization and monitoring of ML/AI and analytics in the cloud
Solutions architecture frameworks geared towards data science and analytics
Deep understanding of testing frameworks and automated pipelining with GIT integration
Understanding and application of Big Data and distributed computing principles (Hadoop and MapReduce)
Strong analytical and statistical knowledge with an understanding of the latest machine learning algorithms for both structured and unstructured data
Strong ability to communicate findings and recommendations from data (visual, verbal and written)
DevOps/ DataOps/ MLOps and CI/CD/CM/CT experience
Proficient understanding data manipulation skills including SQL to ETL processes
Experience in interactive data exploration and data-driven story telling
Cloud experience preferred
An understanding of healthcare technologies is a nice to have (but not necessary) such as patient health management, provider profiling, healthcare reporting, and other key healthcare technologies.

Qualifications
A bachelor's degree in computer science, or similar. A master's degree in a related field preferred.
5+ years of Relevant MLE experience required
Extensive experience in healthcare analytics.",https://www.mycareersfuture.gov.sg/job/engineering/senior-machine-learning-engineer-amplify-health-asia-80ffbdfbad602b1aac65db0dbbe63c70?source=MCF&event=Search
1,Machine Learning Engineer,MINDEN INTERNATIONAL PTE. LTD.,"Who we are.
Minden.ai is a technology venture on admission to redefine the engagement between brands and consumers in Southeast Asia. We create more delightful and rewarding interactions, enriching relationships between brands and consumers with the use of machine learning and artificial intelligence, leading to increased engagement, loyalty and growth.

The way we work.
We treat each other with respect. We embrace authenticity and transparency. We collaborate. We pride ourselves on agility and innovation, and believe in embracing continuous learning and self-improvement. We strive to be the preferred employer by providing comprehensive benefits, a dynamic and exciting working environment, work-life balance and effort recognition.
We are seeking pioneers with grit and passion, an insatiable intellectual curiosity and a heart for people, to amplify our effectiveness as a team.

As a Machine Learning Engineer, you will:
Design and deliver a ML- based recommender system that delights our customers with personalised experience.
Work closely with platform and data engineers to operationalise ML models and serve inferences efficiently, which include automating ML pipelines, performance monitoring and testing.
Collaborate with product owners and work backwards from both our customers and partners to define AI/ML features.
Be the evangelist for AI/ML through mentoring and technical/knowledge sharing.
Participate actively in design and code reviews.

Your experiences:
You possess at least 2+ years of experience in software engineering or data engineering.
You have programming experience in Python, Java, Pyspark and Scala.
You possess knowledge of Big Data frameworks like Hadoop, Spark, Impala, Hive, etc
You have experience in building and optimizing ML models, pipelines and architectures.
You have experience with ML frameworks such as TensorFlow, Keras, PyTorch.
You have experience working in an agile environment.
You have a bachelor’s degree in Computer Science, Data Science, IT or a related discipline.",https://www.mycareersfuture.gov.sg/job/information-technology/machine-learning-engineer-minden-international-3effb47991d881048e4303d7de858087?source=MCF&event=Search
2,Senior Machine Learning Engineer,AIRWALLEX (SINGAPORE) PTE. LTD.,"As an ML engineer, you will work with a team of ML engineers on interesting ML problems in the risk management domain. You will build sophisticated features and models based on real world transaction data. We expect you to experiment with different features; try out various model architectures, from random forest, xgboost to DNN, LSTM and graph model; tune model performance; and build applications on top of models to achieve business values.
Responsibilities：
Analyze business requirements and turn them into ML problems
Work on feature engineering and model training
Collaborate with different teams to apply models to business problems
Be an expert about the cutting-edge ML technologies and be able to pick the right model architecture for our problems
Coach junior ML engineers to grow and be more effective in their job
Qualifications：
At least 5 years's machine learning related working experience
Modeling background in risk domain and fraud detection experience are a must
Proficient in Python and/or a JVM language (Java, Scala, Kotlin)
Experience with model training and ML libraries, such as scikit-learn, Tensorflow, PyTorch, Keras, etc.
Experience with big data frameworks, such as Flink or Spark
Familiar with SQL",https://www.mycareersfuture.gov.sg/job/engineering/senior-machine-learning-engineer-airwallex-fcf565a908dbe98ecc2935292cacaab6?source=MCF&event=SuggestedJob
3,Machine Learning Ops Associate engineer,ENSIGN INFOSECURITY (CYBERSECURITY) PTE. LTD.,"Job Description – Machine Learning Ops

Key Responsibilities:
Work with existing Machine Learning Operations (MLOps) team to develop a streamlined Cyber Security Machine Learning Platform for Data Science Team and Deployment team
Develop integrated services to automate the retraining and deployment of Machine Learning models
Ensure that deployed machine learning models are functional in production
Develop end to end pipelines as part of MLOps for developed models
Ensure that machine learning applications are scalable on Kubernetes (on-premise and cloud)
Work on optimisation so that the model can handle large amounts of data in a production environment
Deploy and manage Kubernetes solutions
Embody Ensign’s core values in work and interactions with colleagues, customers and vendors
Qualifications/Requirements:
Ability to do development using Python and C++
Ability to design and implement on-prem and cloud solutions (AWS, Azure, or GCP)
Ability to deploy and manage Kubernetes first open source solutions
Ability to build MLOps pipelines using CI/CD tools such as Gitlab, AWS Code Pipeline, etc
Good understanding of Linux and machine learning workflow
Ability to understand tools and frameworks such as Keras, PyTorch, Tensorflow used by data scientists
Experience in using popular MLOps frameworks like MLFlow or Kubeflow
Experience working with streaming data
Strong in programming languages such as C, C++ and Python
Strong communication skills",https://www.mycareersfuture.gov.sg/job/information-technology/machine-learning-ops-associate-engineer-ensign-infosecurity-bda066b2c07f79410ec8cbb70ed556b0?source=MCF&event=Search
4,Assistant Principal Machine learning engineer,ST ENGINEERING IHQ PTE. LTD.,"The Smart Enterprise Platform Strategic Engineering Centre (SEP SEC) is one of five SECs within the Group Engineering Centre (GEC) in ST Engineering. Its mission is to deepen Data Analytics (DA) capabilities, proliferate DA usage group-wide, and to develop common/reusable DA products and tools for both internal and external use by all lines of businesses. We are looking for an experienced Principal Machine Learning (ML) Engineer to help us create artificial intelligence products and production ready machine learning models. To do this job successfully, you need exceptional skills in statistics, programming, and knowledge of data science and enterprise software engineering. Key Responsibilities: • Participate in analytics consulting, solution implementation projects, and MLOps product development • Study and transform data science POCs & prototypes • Design machine learning systems • Research and implement appropriate ML algorithms and tools • Develop machine learning applications according to requirements • Select appropriate datasets and data representation methods • Run machine learning tests & experiments and retrain systems when necessary • Extend existing ML libraries and frameworks • Mentor junior ML engineers Job Requirements: • Proven experience as a Machine Learning Engineer or similar role • A Bachelors or Masters Degree in Computer Science, Mathematics, or similar field • 5 years of working experience in analytics and machine learning is preferred • Understanding of data structures, data modelling and software architecture • Deep knowledge of math, probability, statistics and algorithms • Ability to write robust code in Python, Java, R, or Scala • Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikitlearn) • Good understanding of end-to-end analytics process – ideation/value elicitation, requirements definition, data profiling, analytical modelling, testing, validation, visualization, and deployment • Strong interest in and ability to perform and publish ML research is preferred • Strong problem solving skills, curiosity, and passion for data science • Excellent coordination and time management skills to handle complex projects • Willing and enthusiastic about continuous learning of new technologies and data science techniques/breakthroughs • Effective oral and written communication with strong analytical, problem solving, multitasking and project management skills",https://www.mycareersfuture.gov.sg/job/engineering/assistant-principal-machine-learning-engineer-st-engineering-ihq-669bd47ba89b0a0026329acd123c1a7d?source=MCF&event=Search
5,Senior Machine Learning Engineer,AIRWALLEX (SINGAPORE) PTE. LTD.,"As an ML engineer, you will work with a team of ML engineers on interesting ML problems in the risk management domain. You will build sophisticated features and models based on real world transaction data. We expect you to experiment with different features; try out various model architectures, from random forest, xgboost to DNN, LSTM and graph model; tune model performance; and build applications on top of models to achieve business values.
Responsibilities：
Analyze business requirements and turn them into ML problems
Work on feature engineering and model training
Collaborate with different teams to apply models to business problems
Be an expert about the cutting-edge ML technologies and be able to pick the right model architecture for our problems
Coach junior ML engineers to grow and be more effective in their job
Qualifications：
At least 5 years's machine learning related working experience
Modeling background in risk domain and fraud detection experience are a must
Proficient in Python and/or a JVM language (Java, Scala, Kotlin)
Experience with model training and ML libraries, such as scikit-learn, Tensorflow, PyTorch, Keras, etc.
Experience with big data frameworks, such as Flink or Spark
Familiar with SQL",https://www.mycareersfuture.gov.sg/job/engineering/senior-machine-learning-engineer-airwallex-fcf565a908dbe98ecc2935292cacaab6?source=MCF&event=Search
6,"Lead, Machine Learning Engineer",GRABTAXI HOLDINGS PTE. LTD.,"Life at Grab
At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.
Get to know the Team
GrabAds allows Advertisers, Agencies, and Merchants to engage the Grab Audience via innovative online and offline advertising experiences. Through our unique ecosystem and transacting user base, our clients are able to reach their desired audiences at scale, while driving measurable business outcomes.
We would want to invite talented and passionate engineers to join our journey, to create value for our consumers, drivers, merchants, and advertising partners, while continuing to make everyday lives better across Southeast Asia.
Get to know the Role
You will develop machine learning models and strategies to predict the most relevant items in the user journey. You will drive real-world impact through innovative data-driven technology. You will drive the development and iteration of the algorithm and ensure that improvements roll out successfully.
The Day-to-Day Activities
Conceptualise and develop machine learning models to understand, classify and predict user behaviors in different scenarios. Deploy, test and maintain them.
Design and conduct both offline and online experiments to validate hypotheses.
Design and implement algorithms to derive deep insights and identify trends, patterns and relationships from high-volume high-dimensional data.
You are required to participate in code and design reviews with peers to maintain our high-standard engineering practice.
You will participate in on-call rotations with engineers. Troubleshoot, mitigate, and resolve issues.
The Must-Haves
You have Heart, Hunger, Honour and Humility, and have a small ego.
Master's Degree or above in Computer Science, Electrical Engineering, Software Engineering, Automation, Data Science, and other Computer Science related majors
You have a minimum of 5 years of relevant experience in developing Machine Learning models for systems including Ads/RecSys/Search.
Be familiar with model optimization methods and tricks, and be familiar with deep learning frameworks (TensorFlow/ps-lite/PyTorch)
Familiar with one or more of the following programming languages: Python/Golang/Java/C++
Be familiar with the Hadoop ecosystem, and be familiar with modern data processing stacks (e.g. Hive, Presto, Spark, Kafka, HBase, Flink etc.)
Strong understanding of statistics, data analysis, and data visualization techniques.
Excellent communication and collaboration skills, with the ability to work effectively with cross-functional teams.
The Nice-to-Haves
Be proactive and always be ready to tackle challenging tasks, can work with smart people together, and grow fast.
Be familiar with user behavior modeling and feature crossing technique, be familiar with bid optimization strategy including oCPC, be familiar with keyword recommendation.
Proven track record/ accolades in data/ AI-related competitions (e.g. KDD Cup/Kaggle) or programming competitions (e.g. ICPC).
Proficient in one or more of the following programming languages: Golang/Java/C++/Scala
Experience in machine learning with cloud platforms (e.g. AWS)
Our Commitment
We are committed to building diverse teams and creating an inclusive workplace that enables all Grabbers to perform at their best, regardless of nationality, ethnicity, religion, age, gender identity or sexual orientation and other attributes that make each Grabber unique.",https://www.mycareersfuture.gov.sg/job/information-technology/lead-machine-learning-engineer-grabtaxi-holdings-1b856380749ceb1cbebece3bfbf709cd?source=MCF&event=Search
7,Machine Learning Ops Senior Engineer,ENSIGN INFOSECURITY (CYBERSECURITY) PTE. LTD.,"Key Responsibilities:
· Deploy key services such as Gitlab, Airflow, Jenkins, MLFlow etc on a Kubernetes Cluster (on premise infra and cloud)
· Integrate and develop key services as a streamlined Cyber Security Machine Learning workflow for Data Science Team\Cyber Security Analytics solution
· Develop integrated services to automate the operations of Machine Learning models
· Ensure that deployed machine learning models are functional in production
· Develop data pipelines as part of Machine Learning Operations (MLOps)
· Ensure that machine learning applications are scalable with tools like Docker and Kubernetes
· Work on optimisation so that the model can handle large amounts of data in a production environment
· Embody Ensign’s core values in work and interactions with colleagues, customers and vendors

Qualifications/Requirements:
· Ability to design and implement on-prem and cloud solutions (AWS, Azure, or GCP)
· Ability to build MLOps pipelines
· Ability to build data pipelines using tools such as Airflow
· Good understanding of Linux
· Knowledge of frameworks such as Keras, PyTorch, Tensorflow
· Ability to understand tools used by data scientists
· Experience in using popular MLOps frameworks like MLFlow or Kubeflow
· Experience in CI/CD tools such as Jenkins, Gitlab,
· Proficient in programming languages such as C, C++ and Python
· Strong communication skills",https://www.mycareersfuture.gov.sg/job/information-technology/machine-learning-ops-senior-engineer-ensign-infosecurity-b7d6f585e2a4a4121efe9779c114d4e8?source=MCF&event=Search
8,Senior Machine Learning Engineer,KAISHI PARTNERS PTE. LTD.,"A well-funded climate chang AI technology startup is seeking a Senior Machine Learning Engineer to be part of their team in Singapore. The candidate will be part of a team that strive to design and build data products and systems that are reliable, scalable, and maintainable. Some of the traits that the firm promote within the team are ownership, curiosity, transparency, and a strong writing culture. As an early team member, you will be expected to help shape the firm's product direction and to strengthen the team’s culture.

You will collaborate closely with product managers, software engineers, designers, data engineers, and sustainability experts to ship products that create value and solve problems for our customers.

WHAT YOU WILL WORK ON
Continuously improve our carbon engine, which is responsible for calculating carbon emissions across all scopes for our customers, using transactional data provided by them, and our proprietary data set of carbon emission factors.
Build end-to-end production machine learning solutions to solve business problems and improve the quality of our carbon emission estimate
Design, develop and maintain backend and ML systems and services
Lead our efforts to build a system that leverages our various data sets to automatically find decarbonization solutions for our customers.
ABOUT YOU
You have 7+ years of experience in software development and/or data science roles, with extensive experience in Python as the main programming language.
You have driven high business impact and shipped NLP/ML solutions to production
You are able to own the entire lifecycle of a data science project. You don’t need to be an expert on every aspect of it, but you must be a quick learner to pick things up and go deep when needed.
You have a good understanding of backend system design
You have a strong product mindset, and enjoy working cross-functionally.
You use solid engineering practices, and write maintainable code.
You thrive in a fast-paced environment.
You enjoy mentoring others, and introduce and promote best practices across the team.",https://www.mycareersfuture.gov.sg/job/information-technology/senior-machine-learning-engineer-unravel-carbon-3f27e9e80ce09f96766d9f47adab4286?source=MCF&event=Search
9,Senior Machine Learning Engineer,KKT TECHNOLOGY PTE. LTD.,"Who we are

Holmusk is building the largest Real-World Evidence platform, starting with behavioral health. Combining a leading behavioral health database with AI-powered analytics and digital solutions, we are advancing the frontier of evidence generation and fueling innovation.

At Holmusk, we have the privilege of collaborating with internationally renowned psychiatrists/ specialists in behavioral health. We collaborate with established pharmaceutical companies and clinical institutions primarily on behavioral health. We take pride in our diverse workforce and inclusive culture. We believe it takes all kinds of people to build the best products and bring real change to the healthcare space.

Whom are we looking for

We are looking for an Senior Machine Learning Engineer, based in APAC. You would have experience in developing data products, setting up ETL, developing and maintaining good documentation using software development practices. You would be responsible for development of data science algorithms and/or packages for Holmusk’s products. You will also mentor junior data scientists, communicate progress to the rest of the teams and interact with data, product, UX, engineering, customer success & commercial teams.

If this description excites you, come join a diverse and collaborative team of engineers, designers, data scientists, health and business professionals who are passionate about improving healthcare.

What is in it for you
Opportunity to collaborate with leading SME-s from the Mental Health space globally including the US, Europe and SG.
Opportunity to work in a collaborative environment that encourages creativity
Publish research findings in international peer reviewed journals
Make major impact on the behavioral health space globally
Flexible work schedules
Responsibilities
Communicate effectively understand business requirements, frame challenging problems within data science frameworks and develop a roadmap to execution
Innovate on the analysis/modelling methodology to realize the full value of the data
Develop data applications and packages querying relational databases to provide insights.
Communicate project updates effectively to stakeholders
Requirements
Degree in Computer Science, Engineering, Statistics, Applied Mathematics, Bioengineering, Bioinformatics or related fields
At-least 3 years of experience as python developer using software development tools, version control systems (git, docker), relational databases for developing data products.
Proficient with Python and SQL and in-depth understanding of data processing and feature engineering
Experience in automated testing and CI/CD pipelines
Experience with AWS, Spark technologies is a must
Provide in-depth engineering support (debugging, performance optimizations, etc.) focussing on search and retrieval of data using SQL/NoSQL databases.
Excellent communication, interpersonal relationship skills and maturity as an individual contributor
Understanding of statistical modeling, machine learning, data mining concepts and optimization techniques
Strong analytical and quantitative problem-solving ability
Prior experience with healthcare datasets is an advantage.
Willingness to learn is essential
At Holmusk we take pride in our diverse workforce and inclusive culture. We believe it takes all kinds of people to build the best products and bring real change to the healthcare space.",https://www.mycareersfuture.gov.sg/job/consulting/senior-machine-learning-engineer-kkt-technology-6baf658fe7e27ef39349c85c6899a291?source=MCF&event=Search
